FECHA,DENSIDAD(kg/m³),RESISTENCIA_COMPRESION(N/mm²)
1992-09-21,2437,60.5
1992-06-29,2437,60.9
1992-06-26,2425,59.8
1992-04-14,2427,53.8
1992-03-31,2428,56.9
1992-03-19,2448,67.3
1992-03-09,2456,68.9
1992-02-07,2436,49.9
1992-01-28,2435,57.8
1991-12-18,2446,60.9
1991-12-06,2441,61.9
1991-12-06,2456,67.2
1991-12-06,2444,64.9
1991-12-05,2447,63.4
1991-12-04,2433,60.5
1991-12-03,2429,68.1
1991-12-01,2435,68.3
1991-10-22,2471,65.7
1991-10-18,2472,61.5
1991-10-14,2445,60
1991-10-09,2436,59.6
1991-10-07,2450,60.5
1991-10-03,2454,59.8
1991-10-02,2449,56.7
1991-09-30,2441,57.9
1991-09-27,2457,60.2
1991-09-23,2447,55.8
1991-09-20,2436,53.2
1991-09-17,2458,61.1
1991-09-13,2415,50.7
1991-09-10,2448,59
1991-09-09,2445,63.3
1991-09-06,2436,52.5
1991-09-03,2469,54.6
1991-09-02,2455,56.3
1991-08-29,2473,64.9
1991-08-23,2488,69.5
1991-07-12,2454,58.9
1991-07-09,2427,54.4
1991-07-08,2411,58.8
